vehicle_id,engine_index,engine_descriptor,engine_cylinders,engine_displacement,turbocharger,fuel_type,fuel_type_1,alternative_fuel_technology,ghg_score,ghg_score_alt_fuel
6708,20010.0,"(DSL,TRBO) (NO-CAT)",5.0,2.5,True,Diesel,Diesel,Diesel,-1.0,-1.0
6709,20030.0,(FFS),6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
6710,20020.0,(FFS),6.0,2.6,,Premium,Premium Gasoline,,-1.0,-1.0
6711,20030.0,(GUZZLER)  (FFS),6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
6712,20039.0,(GUZZLER)  (FFS),6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
6847,20039.0,(GUZZLER)  (FFS),6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
6425,20036.0,(GUZZLER)  (FFS),6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
6426,20036.0,(GUZZLER)  (FFS),6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
6956,20030.0,(GUZZLER)  (FFS),6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
6957,20031.0,(GUZZLER)  (FFS),6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
6848,20040.0,"(DSL,TRBO) (NO-CAT)",6.0,3.5,True,Diesel,Diesel,Diesel,-1.0,-1.0
28874,0.0,(GUZZLER) FFS MPFI (FFS),8.0,4.2,,Premium,Premium Gasoline,,-1.0,-1.0
6849,20050.0,(GUZZLER)  (FFS),8.0,4.2,,Premium,Premium Gasoline,,-1.0,-1.0
6427,20060.0,(GUZZLER)  (FFS),8.0,5.0,,Premium,Premium Gasoline,,-1.0,-1.0
6713,20070.0,(GUZZLER)  (FFS),8.0,5.6,,Premium,Premium Gasoline,,-1.0,-1.0
6850,20070.0,(GUZZLER)  (FFS),8.0,5.6,,Premium,Premium Gasoline,,-1.0,-1.0
6833,3381.0,(FFS)      (S-CHARGE),6.0,3.8,,Premium,Premium Gasoline,,-1.0,-1.0
6834,3350.0,(FFS),6.0,3.8,,Regular,Regular Gasoline,,-1.0,-1.0
6835,3380.0,(FFS)      (S-CHARGE),6.0,3.8,,Premium,Premium Gasoline,,-1.0,-1.0
6895,3400.0,(FFS),8.0,5.0,,Regular,Regular Gasoline,,-1.0,-1.0
6981,3400.0,(FFS),8.0,5.0,,Regular,Regular Gasoline,,-1.0,-1.0
6837,3302.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
6838,3342.0,(FFS),6.0,3.8,,Regular,Regular Gasoline,,-1.0,-1.0
6953,3302.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
6954,3341.0,(FFS),6.0,3.8,,Regular,Regular Gasoline,,-1.0,-1.0
6955,3301.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
6696,3201.0,(FFS),4.0,2.3,,Regular,Regular Gasoline,,-1.0,-1.0
6697,3202.0,(FFS),4.0,2.3,,Regular,Regular Gasoline,,-1.0,-1.0
6698,3203.0,(FFS),4.0,2.3,,Regular,Regular Gasoline,,-1.0,-1.0
6699,3200.0,(FFS),4.0,2.3,,Regular,Regular Gasoline,,-1.0,-1.0
6555,19624.0,"(FFS,TRBO)",4.0,2.0,True,Premium,Premium Gasoline,,-1.0,-1.0
6552,19611.0,SOHC       (FFS),4.0,1.8,,Regular,Regular Gasoline,,-1.0,-1.0
6554,19622.0,(FFS),4.0,2.0,,Regular,Regular Gasoline,,-1.0,-1.0
6553,19611.0,SOHC       (FFS),4.0,1.8,,Regular,Regular Gasoline,,-1.0,-1.0
6556,19622.0,(FFS),4.0,2.0,,Regular,Regular Gasoline,,-1.0,-1.0
6557,19623.0,"(FFS,TRBO)",4.0,2.0,True,Premium,Premium Gasoline,,-1.0,-1.0
6716,49045.0,(FFS),4.0,2.0,,Regular,Regular Gasoline,,-1.0,-1.0
6714,49040.0,(FFS),4.0,2.0,,Regular,Regular Gasoline,,-1.0,-1.0
6715,49030.0,(FFS),4.0,2.0,,Regular,Regular Gasoline,,-1.0,-1.0
6717,49040.0,(FFS),4.0,2.0,,Regular,Regular Gasoline,,-1.0,-1.0
6718,49030.0,(FFS),4.0,2.0,,Regular,Regular Gasoline,,-1.0,-1.0
6558,49010.0,(FFS),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6561,49020.0,(FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
6559,49010.0,(FFS),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6560,49010.0,(FFS),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6562,49020.0,(FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
6922,49010.0,(FFS),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6923,49010.0,(FFS),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
7416,49097.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
7415,49093.0,(FFS),4.0,2.6,,Regular,Regular Gasoline,,-1.0,-1.0
7417,49097.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
6539,26540.0,(FFS)      (MPFI),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6540,26540.0,(FFS)      (MPFI),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6541,26540.0,(FFS)      (MPFI),4.0,1.5,,Regular,Regular Gasoline,,-1.0,-1.0
6719,49060.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
6924,49030.0,(FFS),4.0,2.0,,Regular,Regular Gasoline,,-1.0,-1.0
7005,49091.0,(FFS),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
7006,49091.0,(FFS),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
7216,49092.0,(FFS),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
7217,49092.0,(FFS),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
7218,49095.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
7268,49085.0,(FFS),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
7301,49085.0,(FFS),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
6428,38022.0,(FFS),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
6429,38022.0,(FFS),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
6399,38032.0,,6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
6400,38033.0,"(FFS,TRBO)",6.0,3.0,True,Premium,Premium Gasoline,,-1.0,-1.0
6401,38032.0,,6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
6402,38033.0,"(FFS,TRBO)",6.0,3.0,True,Premium,Premium Gasoline,,-1.0,-1.0
6485,38032.0,,6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
6486,38032.0,,6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
7310,38085.0,(FFS),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
7311,38085.0,(FFS),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
7362,38083.0,(FFS),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
7363,38083.0,(FFS),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
6988,38080.0,(FFS),4.0,2.4,,Regular,Regular Gasoline,,-1.0,-1.0
